date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:17:41	1430/1430	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2005%20Jan%202021%2012:14:52%20GMT	https://ittza7aa.com/robots.txt		(from )
12:17:42	215345/215345	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Jun%202023%2012:17:42%20GMT	https://ittza7aa.com/	C:/My%20Web%20Sites/a7aa/ittza7aa.com/index.html	(from )
12:17:42	659659/659659	---M-Z	200	added ('OK')	text/css	etag:%22a10cb-6478d2cf-c1fdf87ddc565381;gz%22	https://ittza7aa.com/css/framework7.bundle.min.css	C:/My%20Web%20Sites/a7aa/ittza7aa.com/css/framework7.bundle.min.css	(from https://ittza7aa.com/)
12:17:43	12758/12758	---MCZ	200	added ('OK')	text/css	etag:W/%223d5c-648391b7-d3585ffe2cb9348f;gz%22	https://ittza7aa.com/css/app.css	C:/My%20Web%20Sites/a7aa/ittza7aa.com/css/app.css	(from https://ittza7aa.com/)
12:17:43	365468/365468	---M--	200	added ('OK')	image/jpeg	etag:%225939c-63df0ea2-b37d78c0764aab65;;;%22	https://ittza7aa.com/aseets/free.JPG	C:/My%20Web%20Sites/a7aa/ittza7aa.com/aseets/free.jpg	(from https://ittza7aa.com/)
12:17:43	6774/6774	---M-Z	200	added ('OK')	text/css	etag:%221a76-6478d2cf-293626c9529c9c1;gz%22	https://ittza7aa.com/css/my-app.css	C:/My%20Web%20Sites/a7aa/ittza7aa.com/css/my-app.css	(from https://ittza7aa.com/)
12:17:43	4181/4181	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ea1-1055%22	https://cdnjs.cloudflare.com/ajax/libs/inobounce/0.2.0/inobounce.js	C:/My%20Web%20Sites/a7aa/cdnjs.cloudflare.com/ajax/libs/inobounce/0.2.0/inobounce.js	(from https://ittza7aa.com/)
12:17:44	2708/2708	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2005%20Jan%202021%2012:14:52%20GMT	https://ittza7aa.com/img/icon.png	C:/My%20Web%20Sites/a7aa/ittza7aa.com/img/icon.png	(from https://ittza7aa.com/)
12:17:44	2708/2708	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2005%20Jan%202021%2012:14:52%20GMT	https://ittza7aa.com/img/icon-square.png	C:/My%20Web%20Sites/a7aa/ittza7aa.com/img/icon-square.png	(from https://ittza7aa.com/)
12:17:44	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Jun%202023%2012:17:44%20GMT	http://www.fontstatic.com/f=bein-normal	C:/My%20Web%20Sites/a7aa/www.fontstatic.com/f=bein-normal.7.delayed	(from https://ittza7aa.com/)
